Cod UF;UF;Sgl UF;Cod IBGE;Nome Município;Latitude;Longitude;Sgl Região;Região;Chave_Localidade;Nome Municipio Tratado
31;Minas Gerais;MG;3126000;FLORESTAL;-19,8885;-44,4321;SE;Sudeste;MG_FLORESTAL;FLORESTAL
31;Minas Gerais;MG;3126109;FORMIGA;-20,4623;-45,4272;SE;Sudeste;MG_FORMIGA;FORMIGA
31;Minas Gerais;MG;3126208;FORMOSO;-14,9532;-46,2323;SE;Sudeste;MG_FORMOSO;FORMOSO
31;Minas Gerais;MG;3126307;FORTALEZA DE MINAS;-20,8512;-46,7124;SE;Sudeste;MG_FORTALEZA DE MINAS;FORTALEZA DE MINAS
31;Minas Gerais;MG;3126406;FORTUNA DE MINAS;-19,561;-44,447;SE;Sudeste;MG_FORTUNA DE MINAS;FORTUNA DE MINAS
31;Minas Gerais;MG;3126505;FRANCISCO BADARÓ;-16,9887;-42,3572;SE;Sudeste;MG_FRANCISCO BADARO;FRANCISCO BADARO
31;Minas Gerais;MG;3126604;FRANCISCO DUMONT;-17,3111;-44,2321;SE;Sudeste;MG_FRANCISCO DUMONT;FRANCISCO DUMONT
31;Minas Gerais;MG;3126703;FRANCISCO SÁ;-16,4832;-43,49;SE;Sudeste;MG_FRANCISCO SA;FRANCISCO SA
31;Minas Gerais;MG;3126752;FRANCISCÓPOLIS;-17,96;-42,009;SE;Sudeste;MG_FRANCISCOPOLIS;FRANCISCOPOLIS
31;Minas Gerais;MG;3126802;FREI GASPAR;-18,0714;-41,4329;SE;Sudeste;MG_FREI GASPAR;FREI GASPAR
31;Minas Gerais;MG;3126901;FREI INOCÊNCIO;-18,5561;-41,9124;SE;Sudeste;MG_FREI INOCENCIO;FREI INOCENCIO
31;Minas Gerais;MG;3126950;FREI LAGONEGRO;-18,168;-42,766;SE;Sudeste;MG_FREI LAGONEGRO;FREI LAGONEGRO
31;Minas Gerais;MG;3127008;FRONTEIRA;-20,2832;-49,2011;SE;Sudeste;MG_FRONTEIRA;FRONTEIRA
31;Minas Gerais;MG;3127057;FRONTEIRA DOS VALES;-16,8903;-40,9233;SE;Sudeste;MG_FRONTEIRA DOS VALES;FRONTEIRA DOS VALES
31;Minas Gerais;MG;3127073;FRUTA DE LEITE;-16,1172;-42,5235;SE;Sudeste;MG_FRUTA DE LEITE;FRUTA DE LEITE
31;Minas Gerais;MG;3127107;FRUTAL;-20,0263;-48,9359;SE;Sudeste;MG_FRUTAL;FRUTAL
31;Minas Gerais;MG;3127206;FUNILÂNDIA;-19,3676;-44,0626;SE;Sudeste;MG_FUNILANDIA;FUNILANDIA
